#Number of repeats by family before and after curation
#=============================================================
#repeat family	class	no. before overlap resolving	no. after
rnd-5_family-237	Unknown	1	1
rnd-1_family-316	DNA/hAT-hAT5	1	1
rnd-1_family-680	Unknown	6	4
rnd-5_family-322	DNA	3	3
rnd-1_family-835	DNA	2	2
rnd-5_family-1652	Unknown	1	1
rnd-5_family-242	DNA	2	2
rnd-1_family-391	DNA	1	1
rnd-6_family-2767	Unknown	3	3
rnd-1_family-1073	LTR	8	5
rnd-1_family-603	RC/Helitron	5	3
rnd-5_family-1169	DNA/PIF-Harbinger	3	2
rnd-1_family-1050	LTR	3	2
rnd-5_family-165	DNA/PIF-Harbinger	5	1
rnd-5_family-1370	RC/Helitron	1	1
rnd-6_family-480	RC/Helitron	1	0
rnd-6_family-294	Unknown	1	1
rnd-5_family-1604	Unknown	1	1
rnd-1_family-1120	Unknown	3	1
rnd-5_family-5049	DNA/hAT-Tip100	1	1
rnd-6_family-2857	DNA/PIF-Harbinger	9	7
rnd-1_family-539	DNA	1	0
rnd-1_family-854	Unknown	5	0
rnd-1_family-1024	Unknown	15	0
rnd-1_family-52	DNA	2	0
rnd-1_family-112	Unknown	4	3
rnd-5_family-3861	Unknown	1	1
rnd-1_family-100	DNA/TcMar-Tc2	3	1
rnd-1_family-420	LINE/Penelope	1	1
rnd-5_family-281	Unknown	5	3
rnd-6_family-1491	Unknown	2	0
rnd-1_family-357	SINE/tRNA-Deu-L2	4	0
rnd-1_family-756	DNA/Kolobok-T2	3	3
rnd-6_family-802	DNA	6	1
rnd-1_family-895	DNA	2	1
rnd-1_family-144	SINE/tRNA-Deu	4	3
rnd-1_family-637	DNA	1	1
rnd-1_family-200	DNA	3	3
rnd-5_family-882	DNA/Kolobok-T2	6	5
rnd-1_family-1028	Unknown	1	0
rnd-1_family-183	DNA	3	1
rnd-6_family-1331	Unknown	3	1
rnd-6_family-3305	DNA/Kolobok-T2	1	0
rnd-5_family-2700	Unknown	4	2
rnd-5_family-836	DNA/Kolobok-T2	1	0
rnd-5_family-71	DNA	4	3
rnd-1_family-403	DNA	6	4
rnd-3_family-62	DNA/TcMar-Tc2	3	3
rnd-5_family-62	DNA/Kolobok	2	2
rnd-1_family-868	DNA/Sola-3	2	0
rnd-1_family-276	DNA/Academ-2	2	0
rnd-5_family-501	Unknown	3	2
rnd-1_family-815	DNA	7	5
rnd-1_family-1238	DNA	7	0
rnd-1_family-1167	DNA	4	1
rnd-1_family-515	DNA	4	1
rnd-1_family-508	DNA	4	3
rnd-1_family-1150	DNA	2	2
rnd-1_family-812	DNA	2	1
rnd-5_family-2070	Unknown	1	0
rnd-5_family-10405	Unknown	3	3
rnd-3_family-79	RC/Helitron	3	2
rnd-1_family-1107	DNA/Academ-2	2	2
rnd-6_family-2325	Unknown	1	1
rnd-1_family-13	Satellite	3	3
rnd-1_family-782	DNA/Academ-2	2	2
rnd-1_family-922	DNA/Academ-2	1	0
rnd-6_family-6242	LTR/Gypsy	1	0
rnd-1_family-791	DNA/PiggyBac	4	4
rnd-5_family-530	DNA/PiggyBac	4	0
rnd-1_family-26	DNA/Kolobok-T2	1	0
rnd-1_family-96	DNA/Kolobok-T2	1	0
rnd-1_family-694	Unknown	1	0
rnd-5_family-1786	Unknown	2	1
rnd-6_family-608	DNA	2	1
rnd-5_family-8067	Unknown	1	1
rnd-1_family-752	DNA/PIF-Harbinger	3	1
rnd-5_family-313	DNA/Academ-2	1	1
rnd-1_family-51	DNA	6	4
rnd-5_family-106	DNA/TcMar-Pogo	1	1
rnd-1_family-310	DNA/TcMar-Pogo	1	1
rnd-1_family-1161	DNA/TcMar-Pogo	2	0
rnd-6_family-1650	DNA	1	1
rnd-1_family-362	DNA	2	0
rnd-5_family-4125	DNA	1	0
rnd-6_family-1220	DNA/Kolobok-T2	2	1
rnd-1_family-536	Unknown	1	1
rnd-5_family-1000	Unknown	4	1
rnd-1_family-386	Unknown	3	3
rnd-1_family-768	DNA/PIF-Harbinger	2	2
rnd-1_family-713	DNA	2	2
rnd-5_family-6547	DNA	3	0
rnd-1_family-905	DNA	2	1
rnd-1_family-560	DNA	5	5
rnd-6_family-623	Unknown	1	0
rnd-4_family-327	DNA/CMC-EnSpm	2	2
rnd-4_family-52	RC/Helitron	8	8
rnd-1_family-411	DNA/Academ-2	3	0
rnd-1_family-589	Unknown	1	1
rnd-6_family-1345	DNA/hAT-hAT6	2	2
rnd-1_family-1151	DNA/hAT-hAT6	1	1
rnd-4_family-328	Unknown	2	1
rnd-1_family-204	DNA/hAT-Tip100	1	0
rnd-5_family-21	Unknown	3	1
rnd-6_family-6247	Unknown	2	1
rnd-1_family-669	DNA	4	2
rnd-1_family-374	DNA/TcMar-Tigger	4	3
rnd-5_family-5737	DNA/TcMar-Tigger	2	0
rnd-1_family-146	DNA	2	2
rnd-6_family-4311	DNA/hAT-hAT6	2	1
rnd-1_family-601	Unknown	2	0
rnd-1_family-797	Unknown	5	4
rnd-1_family-559	DNA/hAT-Blackjack	2	2
rnd-5_family-149	Unknown	19	7
rnd-1_family-690	Unknown	3	0
rnd-1_family-977	Unknown	3	0
rnd-1_family-495	DNA	5	3
rnd-1_family-265	DNA	1	0
rnd-1_family-1093	Unknown	1	0
rnd-1_family-834	Unknown	4	0
rnd-1_family-1117	DNA	8	0
rnd-6_family-139	RC/Helitron	1	0
rnd-1_family-724	DNA/MULE-MuDR	1	0
rnd-1_family-697	DNA/MULE-MuDR	1	1
rnd-1_family-644	DNA/MULE-MuDR	1	1
rnd-1_family-628	DNA/TcMar-ISRm11	2	1
rnd-1_family-485	DNA/Crypton-A	1	1
rnd-1_family-1234	DNA/hAT-hAT1	2	2
rnd-1_family-819	DNA/hAT-hAT1	2	2
rnd-5_family-2088	Unknown	2	2
rnd-1_family-319	Unknown	4	3
rnd-1_family-715	Unknown	2	2
rnd-6_family-5239	Unknown	5	3
rnd-5_family-3811	Unknown	11	4
rnd-1_family-996	DNA	2	2
rnd-1_family-1071	LTR/Copia	2	2
rnd-1_family-654	DNA/hAT-Blackjack	2	2
rnd-6_family-3221	Unknown	2	1
rnd-1_family-424	Unknown	8	4
rnd-5_family-2934	Unknown	3	3
rnd-1_family-82	LTR	1	1
rnd-5_family-59	DNA	1	1
rnd-5_family-2781	LTR/Gypsy	2	2
rnd-6_family-475	Unknown	8	7
rnd-5_family-1677	Unknown	15	10
rnd-1_family-1105	DNA	4	0
rnd-1_family-350	DNA	7	3
rnd-5_family-379	Unknown	12	7
rnd-1_family-693	DNA/Ginger	1	1
rnd-5_family-3116	Unknown	1	0
rnd-5_family-8896	RC/Helitron	1	1
rnd-5_family-1989	DNA	5	0
rnd-1_family-910	DNA	5	5
rnd-1_family-189	Satellite	2	2
rnd-1_family-1175	LINE/L2	1	0
rnd-5_family-544	Unknown	1	1
rnd-1_family-124	DNA/Kolobok-T2	11	0
rnd-1_family-166	DNA/Maverick	3	3
rnd-1_family-217	DNA/Maverick	2	2
rnd-1_family-152	DNA/Maverick	3	2
rnd-1_family-426	DNA/Maverick	1	1
rnd-1_family-260	Unknown	3	2
rnd-1_family-178	DNA/Maverick	3	3
rnd-1_family-95	DNA/Maverick	1	1
rnd-6_family-783	DNA	8	2
rnd-1_family-528	LTR/Copia	1	0
rnd-1_family-1149	RC/Helitron	3	0
rnd-5_family-2101	Unknown	1	0
rnd-1_family-855	DNA/hAT-Blackjack	1	0
rnd-1_family-342	RC/Helitron	1	0
rnd-5_family-1753	Unknown	1	1
rnd-1_family-1231	Unknown	1	1
rnd-5_family-1579	Unknown	3	3
rnd-1_family-251	DNA	1	1
rnd-1_family-20	RC/Helitron	11	10
rnd-6_family-2647	Unknown	4	2
rnd-5_family-1693	Unknown	2	2
rnd-5_family-1970	Unknown	1	0
rnd-5_family-4964	LINE/L2	1	1
rnd-1_family-21	RC/Helitron	4	4
rnd-5_family-2071	DNA	4	3
rnd-1_family-34	DNA/Kolobok	4	0
rnd-6_family-12409	Unknown	1	0
rnd-4_family-297	DNA/Kolobok-T2	4	1
rnd-4_family-1448	DNA	2	1
rnd-5_family-5582	DNA	2	1
rnd-1_family-1240	Unknown	2	2
rnd-5_family-189	Unknown	1	1
rnd-1_family-421	Unknown	1	0
rnd-1_family-573	Unknown	3	3
rnd-1_family-262	DNA/PiggyBac	1	1
rnd-5_family-2880	Unknown	1	1
rnd-5_family-108	DNA	5	0
rnd-5_family-4508	DNA/Kolobok-T2	4	3
rnd-1_family-1229	DNA/Kolobok-T2	3	3
rnd-6_family-10662	Unknown	1	1
rnd-1_family-98	DNA/MULE-NOF	2	1
rnd-1_family-93	DNA/MULE-NOF	1	0
rnd-1_family-196	DNA/Maverick	1	1
rnd-3_family-25	DNA/Maverick	3	2
rnd-1_family-203	DNA/Maverick	1	1
rnd-6_family-2856	DNA/Maverick	1	1
rnd-6_family-191	DNA	1	1
rnd-6_family-5092	Unknown	9	0
rnd-1_family-517	Unknown	8	0
rnd-1_family-417	Unknown	9	6
rnd-1_family-653	Unknown	6	0
rnd-1_family-1005	DNA/TcMar-ISRm11	1	1
rnd-5_family-1874	DNA/TcMar-ISRm11	1	0
rnd-1_family-806	DNA/TcMar-ISRm11	3	2
rnd-1_family-856	Unknown	4	0
rnd-1_family-1159	Unknown	4	1
rnd-5_family-5242	Unknown	4	3
rnd-1_family-37	RC/Helitron	2	2
rnd-1_family-61	RC/Helitron	7	4
rnd-1_family-118	RC/Helitron	2	0
rnd-5_family-775	Unknown	1	0
rnd-1_family-229	RC/Helitron	1	0
rnd-5_family-805	Unknown	2	2
rnd-1_family-333	Unknown	4	2
rnd-3_family-332	DNA/MULE-MuDR	1	1
rnd-1_family-553	DNA	1	0
rnd-1_family-641	Unknown	4	2
rnd-5_family-3215	LTR/Gypsy	3	2
rnd-1_family-1044	DNA	6	1
rnd-1_family-437	LINE/Rex-Babar	2	1
rnd-1_family-507	LINE/Rex-Babar	3	3
rnd-1_family-1137	LTR/Gypsy	1	1
rnd-5_family-3207	LTR/Gypsy	1	1
rnd-1_family-1018	LTR/Gypsy	1	1
rnd-1_family-779	Unknown	23	1
rnd-5_family-7874	DNA	2	1
rnd-6_family-7250	Unknown	1	1
rnd-6_family-690	LINE/RTE-X	1	1
rnd-6_family-330	RC/Helitron	1	1
rnd-6_family-2572	Unknown	1	1
rnd-1_family-829	RC/Helitron	1	1
rnd-6_family-11939	Unknown	3	0
rnd-5_family-11	DNA	1	0
rnd-1_family-621	Unknown	2	1
rnd-5_family-3395	Unknown	1	1
rnd-1_family-142	LINE/Penelope	2	2
rnd-5_family-183	Unknown	3	2
rnd-5_family-2572	Unknown	1	0
rnd-6_family-513	Unknown	3	2
rnd-1_family-787	DNA/Academ-1	1	1
rnd-1_family-419	DNA/Academ-1	2	2
rnd-6_family-4393	Unknown	2	1
rnd-4_family-103	DNA/PiggyBac	3	0
rnd-1_family-574	DNA/PiggyBac	4	4
rnd-5_family-1326	Unknown	4	4
rnd-1_family-1170	Unknown	2	2
rnd-4_family-904	DNA/TcMar-Tc2	2	1
rnd-1_family-789	Unknown	2	1
rnd-1_family-312	DNA/Kolobok-T2	3	0
rnd-1_family-548	Unknown	2	1
rnd-1_family-173	DNA	2	0
rnd-1_family-64	DNA/Kolobok-T2	3	1
rnd-1_family-323	Unknown	84	0
rnd-5_family-1221	DNA/TcMar-Pogo	6	2
rnd-5_family-1357	LINE/L2	2	0
rnd-1_family-1060	DNA	2	0
rnd-1_family-1196	Unknown	1	1
rnd-1_family-129	DNA	4	2
rnd-5_family-5369	DNA/PIF-Harbinger	1	1
rnd-1_family-950	Unknown	1	0
rnd-6_family-290	Unknown	2	1
rnd-1_family-612	LINE/RTE-X	3	3
rnd-5_family-5258	DNA/hAT-hAT5	2	2
rnd-5_family-2146	Unknown	5	4
rnd-1_family-1253	LINE/RTE-X	2	0
rnd-6_family-9	Unknown	1	0
rnd-6_family-102	DNA/PIF-Harbinger	2	2
rnd-1_family-540	DNA	1	0
rnd-6_family-454	Unknown	1	1
rnd-5_family-1038	Unknown	4	1
rnd-6_family-5604	RC/Helitron	2	2
rnd-6_family-3200	DNA	1	1
rnd-4_family-1012	DNA	4	0
rnd-1_family-383	DNA/PIF-Harbinger	1	1
rnd-1_family-435	DNA/PIF-Harbinger	1	1
rnd-1_family-234	Unknown	2	2
rnd-6_family-4542	DNA	1	1
rnd-1_family-410	Unknown	1	1
rnd-6_family-4144	Unknown	1	0
rnd-5_family-1157	LTR/Gypsy	1	1
rnd-1_family-726	Unknown	2	0
rnd-1_family-751	Unknown	1	1
rnd-1_family-952	Unknown	1	0
rnd-1_family-1029	DNA	1	0
rnd-1_family-611	Unknown	7	4
rnd-6_family-8572	Unknown	1	1
rnd-5_family-4027	DNA/Crypton	2	0
rnd-4_family-487	Unknown	5	4
rnd-5_family-1278	Unknown	2	0
rnd-6_family-4023	Unknown	2	2
rnd-1_family-326	DNA	3	0
rnd-6_family-1976	DNA/TcMar-Tc2	2	0
rnd-5_family-5177	Unknown	2	2
rnd-6_family-301	DNA	1	0
rnd-1_family-520	DNA/PIF-Harbinger	3	0
rnd-1_family-1021	Unknown	3	0
rnd-1_family-805	RC/Helitron	3	3
rnd-1_family-1076	Unknown	2	2
rnd-1_family-1163	Unknown	1	0
rnd-1_family-1016	Unknown	1	1
rnd-5_family-855	Unknown	2	1
rnd-5_family-123	Unknown	9	8
rnd-1_family-211	DNA/hAT-Tip100	2	1
rnd-1_family-635	Unknown	1	0
rnd-1_family-341	DNA/PIF-Harbinger	1	1
rnd-1_family-354	DNA/PIF-Harbinger	1	1
rnd-5_family-276	RC/Helitron	1	0
rnd-5_family-128	Unknown	2	2
rnd-5_family-6481	LINE/CR1	3	3
rnd-1_family-1144	DNA/Academ-1	2	2
rnd-1_family-879	DNA/Academ-1	3	3
rnd-1_family-1143	DNA/Academ-1	2	0
rnd-5_family-935	Unknown	1	0
rnd-1_family-291	DNA/TcMar-Tc2	1	0
rnd-1_family-378	DNA/PIF-Harbinger	2	1
rnd-1_family-494	DNA/PIF-Harbinger	1	1
rnd-5_family-1304	Satellite	2	0
rnd-1_family-1148	Unknown	1	1
rnd-5_family-2498	Unknown	1	1
rnd-1_family-18	RC/Helitron	3	1
rnd-5_family-680	Unknown	2	1
rnd-6_family-260	LINE/L2	1	1
rnd-5_family-3704	DNA/hAT-hAT5	5	3
rnd-1_family-811	Unknown	1	1
rnd-1_family-716	LTR/Ngaro	1	1
rnd-5_family-2106	LTR/Ngaro	1	1
rnd-6_family-242	Unknown	1	1
rnd-1_family-1203	LTR/Ngaro	1	1
rnd-1_family-912	LTR/Ngaro	1	1
rnd-1_family-794	DNA	3	3
rnd-6_family-381	DNA	4	1
rnd-1_family-951	LINE/CR1	1	1
rnd-1_family-1017	LINE/CR1	3	3
rnd-6_family-679	LINE/CR1	2	2
rnd-5_family-5564	LINE/CR1	1	1
rnd-1_family-827	LINE/CR1	2	2
rnd-1_family-90	DNA	1	0
rnd-6_family-1024	LTR/Pao	1	1
rnd-6_family-6637	DNA	2	1
rnd-1_family-964	Unknown	1	1
rnd-1_family-720	Unknown	1	0
rnd-6_family-541	Unknown	1	1
rnd-1_family-549	LTR/Gypsy	2	2
rnd-1_family-1245	Unknown	1	1
rnd-5_family-603	Unknown	3	1
rnd-1_family-156	DNA/PIF-Harbinger	6	4
rnd-4_family-163	SINE/tRNA-Deu	3	2
rnd-1_family-583	SINE/tRNA-Deu	4	3
rnd-6_family-4158	DNA	2	0
rnd-1_family-267	Unknown	1	1
rnd-1_family-498	Unknown	3	0
rnd-6_family-786	DNA	7	4
rnd-5_family-2570	LINE/L2	1	1
rnd-1_family-682	RC/Helitron	2	0
rnd-5_family-1689	LTR/Gypsy	1	1
rnd-5_family-2543	SINE/tRNA-Deu	2	1
rnd-1_family-187	LINE/Penelope	1	1
rnd-1_family-264	LINE/Penelope	1	0
rnd-5_family-943	Unknown	1	0
rnd-5_family-980	DNA/PIF-Harbinger	1	1
rnd-1_family-1220	DNA/PIF-Harbinger	1	1
rnd-5_family-2336	DNA/PIF-Harbinger	1	1
rnd-1_family-503	DNA	1	1
rnd-1_family-1147	DNA	1	0
rnd-1_family-318	RC/Helitron	1	0
rnd-1_family-1246	DNA/TcMar-ISRm11	1	1
rnd-5_family-1203	LINE/RTE-X	1	1
rnd-1_family-1133	Unknown	2	0
rnd-1_family-439	DNA/PIF-Harbinger	1	1
rnd-1_family-524	DNA/hAT-Tip100	3	2
rnd-6_family-1805	DNA	1	0
rnd-5_family-2304	DNA	2	0
rnd-6_family-266	Unknown	1	1
rnd-1_family-360	DNA/Maverick	3	3
rnd-1_family-227	DNA/Maverick	1	0
rnd-1_family-652	DNA/Maverick	1	1
rnd-5_family-29	DNA/Maverick	1	1
rnd-1_family-1183	DNA	3	1
rnd-6_family-2754	DNA/Academ-2	5	2
rnd-6_family-3495	LINE/CR1	2	2
rnd-1_family-519	DNA/TcMar-ISRm11	1	1
rnd-6_family-2665	LINE/CR1	3	1
rnd-5_family-3935	DNA/PIF-Harbinger	1	1
rnd-5_family-4097	RC/Helitron	2	2
rnd-1_family-83	RC/Helitron	1	1
rnd-1_family-59	DNA	6	3
rnd-1_family-106	DNA/hAT-Tip100	1	0
rnd-4_family-1297	Unknown	1	0
rnd-1_family-923	Unknown	1	1
rnd-6_family-936	DNA	2	0
rnd-5_family-5222	LTR/Ngaro	1	1
rnd-5_family-675	DNA/PIF-Harbinger	1	1
rnd-5_family-1890	DNA/hAT-Tip100	3	3
rnd-1_family-1223	DNA/hAT-Tip100	2	1
rnd-1_family-1114	DNA/hAT-Tip100	2	1
rnd-5_family-5628	Unknown	2	1
rnd-1_family-763	Unknown	6	3
rnd-6_family-10339	Unknown	1	0
rnd-1_family-673	DNA	1	0
rnd-1_family-171	DNA	1	1
rnd-5_family-430	DNA/Kolobok-T2	2	1
rnd-1_family-867	LTR	1	1
rnd-6_family-10411	DNA/PiggyBac	1	1
rnd-1_family-1036	Unknown	1	1
rnd-6_family-2481	Unknown	2	0
rnd-1_family-1131	Unknown	1	1
rnd-1_family-157	DNA	1	0
rnd-6_family-1252	Unknown	1	1
rnd-5_family-1511	DNA/TcMar-Tc2	9	5
rnd-5_family-2453	LINE/Penelope	1	0
rnd-1_family-823	DNA/PiggyBac	1	1
rnd-1_family-599	DNA/PiggyBac	2	2
rnd-5_family-2722	Unknown	1	0
rnd-6_family-7666	Unknown	1	0
rnd-1_family-643	DNA	2	2
rnd-5_family-5373	DNA	5	4
rnd-6_family-2398	LTR/DIRS	1	1
rnd-5_family-3051	DNA	1	1
rnd-5_family-754	DNA/PiggyBac	4	2
rnd-1_family-6	Unknown	4	4
rnd-1_family-88	DNA	1	1
rnd-6_family-4365	Unknown	1	0
rnd-5_family-9047	Unknown	2	2
rnd-5_family-2376	Unknown	2	0
rnd-5_family-477	DNA/MULE-MuDR	1	1
rnd-1_family-582	DNA/hAT-hAT6	3	2
rnd-5_family-39	Unknown	2	0
rnd-1_family-1045	LTR/Copia	1	1
rnd-1_family-1221	DNA	1	0
rnd-5_family-3433	Unknown	2	2
rnd-5_family-1787	Unknown	2	2
rnd-5_family-1398	DNA	1	0
rnd-5_family-708	Unknown	1	0
rnd-1_family-936	DNA	1	1
rnd-6_family-589	Satellite	1	0
rnd-6_family-37	SINE/tRNA-Deu-L2	1	0
rnd-1_family-681	DNA	2	2
rnd-1_family-551	DNA	1	1
rnd-5_family-6571	Unknown	2	0
rnd-1_family-1263	Unknown	2	1
rnd-6_family-6004	Unknown	1	1
rnd-1_family-349	RC/Helitron	2	2
rnd-1_family-709	RC/Helitron	1	1
rnd-1_family-662	Unknown	4	3
rnd-1_family-1181	Unknown	2	0
rnd-5_family-2325	DNA	1	1
rnd-5_family-4694	LTR/Pao	1	0
rnd-1_family-880	DNA	3	2
rnd-1_family-817	DNA	2	2
rnd-5_family-5801	DNA	4	3
rnd-1_family-985	DNA	1	1
rnd-1_family-1236	DNA/Kolobok-T2	1	1
rnd-1_family-1127	DNA/Kolobok-T2	1	1
rnd-6_family-341	Unknown	2	0
rnd-1_family-489	SINE/tRNA-Rex	1	0
rnd-5_family-4722	Unknown	4	1
rnd-4_family-227	Unknown	3	1
rnd-1_family-776	DNA	2	0
rnd-5_family-3002	DNA	4	2
rnd-5_family-9897	Unknown	1	0
rnd-4_family-313	Unknown	2	0
rnd-1_family-957	LINE/CR1	1	1
rnd-5_family-758	LINE/RTE-BovB	1	1
rnd-1_family-870	LINE/RTE-BovB	1	1
rnd-5_family-2033	Unknown	3	2
rnd-1_family-814	DNA	3	0
rnd-4_family-760	DNA	3	3
rnd-6_family-127	Unknown	1	1
rnd-5_family-913	DNA/TcMar-Tc2	1	1
rnd-1_family-568	LINE/CR1	1	1
rnd-1_family-321	DNA/hAT-Tip100	1	0
rnd-1_family-273	DNA	1	1
rnd-5_family-2047	DNA	1	0
rnd-4_family-1140	DNA/Kolobok-T2	2	2
rnd-4_family-953	DNA/TcMar-Tc2	2	1
rnd-5_family-1745	DNA/Kolobok-Hydra	3	1
rnd-5_family-2165	DNA	1	1
rnd-1_family-471	LINE/Penelope	1	1
rnd-6_family-1784	RC/Helitron	1	1
rnd-1_family-1132	RC/Helitron	3	1
rnd-1_family-965	RC/Helitron	1	1
rnd-1_family-1067	RC/Helitron	1	1
rnd-1_family-254	DNA	1	1
rnd-5_family-1293	Unknown	1	1
rnd-1_family-824	DNA	3	1
rnd-6_family-1554	DNA	2	0
rnd-6_family-1574	Unknown	1	0
rnd-1_family-311	DNA	1	0
rnd-1_family-225	Unknown	2	0
rnd-1_family-841	Unknown	1	1
rnd-4_family-719	DNA/Kolobok-T2	1	1
rnd-6_family-1293	DNA/PIF-Harbinger	1	0
rnd-1_family-890	DNA/PIF-Harbinger	1	0
rnd-1_family-376	DNA/PIF-Harbinger	1	1
rnd-1_family-449	DNA/PIF-Harbinger	1	1
rnd-6_family-5542	DNA/PIF-Harbinger	1	1
rnd-5_family-2630	Unknown	19	17
rnd-1_family-793	Unknown	4	4
rnd-5_family-5962	Unknown	5	4
rnd-1_family-1156	DNA/Kolobok-T2	1	1
rnd-1_family-755	DNA/Academ-1	2	2
rnd-5_family-3060	DNA/Academ-1	2	0
rnd-1_family-529	DNA/Academ-1	2	2
rnd-1_family-43	RC/Helitron	1	1
rnd-1_family-56	RC/Helitron	2	2
rnd-1_family-488	Unknown	4	0
rnd-1_family-441	Unknown	1	1
rnd-1_family-39	RC/Helitron	1	1
rnd-1_family-739	DNA	2	1
rnd-1_family-1032	Unknown	1	0
rnd-1_family-1200	DNA/Sola-3	1	0
rnd-4_family-478	Unknown	4	2
rnd-5_family-5576	Unknown	1	1
rnd-5_family-7697	Unknown	1	1
rnd-6_family-103	Unknown	1	0
rnd-5_family-750	DNA	1	1
rnd-1_family-1119	DNA	2	1
rnd-6_family-4269	DNA/PIF-Harbinger	1	1
rnd-5_family-3279	Unknown	2	2
rnd-1_family-838	DNA	1	1
rnd-1_family-961	DNA	1	1
rnd-1_family-969	DNA	2	1
rnd-5_family-2743	DNA	1	1
rnd-1_family-81	DNA	1	1
rnd-6_family-978	Unknown	1	1
rnd-1_family-622	DNA/Kolobok-T2	1	1
rnd-6_family-3190	DNA/CMC-Chapaev	1	1
rnd-5_family-88	DNA/Kolobok-T2	3	2
rnd-1_family-170	DNA/hAT-Tip100	5	5
rnd-1_family-1261	DNA/Kolobok	1	1
rnd-6_family-3349	DNA/Kolobok	1	1
rnd-5_family-2010	LINE/L2	1	1
rnd-1_family-595	DNA	3	1
rnd-1_family-796	DNA	1	0
rnd-5_family-628	Unknown	3	1
rnd-1_family-2	Satellite	1	1
rnd-1_family-286	DNA	1	1
rnd-1_family-541	DNA/PIF-Harbinger	1	1
rnd-1_family-158	Unknown	30	8
rnd-5_family-4293	Unknown	1	1
rnd-5_family-1399	Unknown	1	1
rnd-5_family-6710	Unknown	1	1
rnd-6_family-3728	Unknown	1	1
rnd-6_family-405	Unknown	1	0
rnd-6_family-337	Unknown	1	1
rnd-5_family-1140	Unknown	3	3
rnd-1_family-272	Satellite	2	1
rnd-5_family-2879	Unknown	1	1
rnd-3_family-71	DNA/Kolobok-T2	1	1
rnd-1_family-123	SINE/tRNA-Deu	1	1
rnd-1_family-278	DNA	2	2
rnd-1_family-593	Unknown	1	0
rnd-5_family-152	Unknown	1	0
rnd-5_family-254	DNA	1	0
rnd-4_family-454	DNA	2	2
rnd-1_family-1169	DNA	2	1
rnd-6_family-2746	DNA	1	0
rnd-1_family-802	Unknown	1	0
rnd-1_family-610	RC/Helitron	1	1
rnd-1_family-1216	DNA/hAT-Tip100	1	1
rnd-5_family-1883	DNA/hAT-Tip100	1	1
rnd-1_family-215	DNA	1	1
rnd-1_family-918	DNA	1	0
rnd-1_family-255	DNA	1	0
rnd-1_family-587	DNA	1	1
rnd-1_family-248	DNA	1	1
rnd-1_family-1158	DNA	1	1
rnd-5_family-601	DNA	2	0
rnd-1_family-1177	DNA	2	2
rnd-1_family-614	DNA/hAT-Tip100	1	1
rnd-1_family-477	DNA/hAT-hAT6	2	0
rnd-1_family-1014	Unknown	1	1
rnd-5_family-2220	Unknown	1	0
rnd-1_family-454	DNA	2	2
rnd-1_family-1199	DNA	2	2
rnd-1_family-586	rRNA	1	1
rnd-5_family-4054	DNA	1	1
rnd-5_family-914	DNA	1	0
rnd-5_family-209	Unknown	2	1
rnd-5_family-86	LINE/Rex-Babar	1	1
rnd-5_family-3099	Unknown	2	1
rnd-5_family-712	Unknown	1	0
rnd-1_family-445	DNA/hAT-Tip100	1	1
rnd-6_family-694	DNA/CMC-EnSpm	1	1
rnd-1_family-1003	LINE/L2	1	1
rnd-5_family-1025	LINE/CR1	1	1
rnd-6_family-1225	DNA/PIF-Harbinger	1	1
rnd-1_family-676	DNA	3	2
rnd-6_family-5783	DNA	1	0
rnd-1_family-887	DNA	2	1
rnd-1_family-803	DNA	2	2
rnd-4_family-168	DNA	1	0
rnd-1_family-818	DNA	1	1
rnd-4_family-237	DNA/PIF-Harbinger	1	0
rnd-1_family-384	DNA/PIF-Harbinger	1	1
rnd-6_family-382	DNA	1	1
rnd-1_family-1180	Unknown	1	0
rnd-5_family-1499	Unknown	2	0
rnd-5_family-1688	DNA	1	1
rnd-1_family-1041	Satellite	6	0
rnd-6_family-8512	Unknown	2	1
rnd-1_family-356	DNA	1	0
rnd-1_family-995	Unknown	1	1
rnd-5_family-1154	DNA/PIF-Harbinger	1	1
rnd-1_family-296	SINE/tRNA-Deu	13	0
